Month,Day,Time,Timegroup,Airportid,Temperature,DewPoint,humidity,Pressure,WindSpeed,destination airport ID,desttemperature,destdewpoint, destinationPressure,destwindspeed,Prediction
4,1,552,1,10140,9.4,-5.6,0.35,14.74795,0.29,11259,12.2,8.9,14.73345,0.29,no
4,1,852,1,10140,13.3,-5,0.28,14.7059,2.1,11259,15.6,10.6,14.75955,0.29,no
4,1,1352,2,10140,21.7,-10,0.11,14.63775,3.6,11259,25,7.2,14.74505,2.6,no
4,1,1252,2,10140,20.6,-11.1,0.11,14.65805,3.6,11259,25,7.8,14.75375,2.6,yes
4,1,1552,2,10140,22.8,-13.3,0.08,14.6073,4.6,11259,26.7,7.2,14.7204,1.5,no
4,1,1652,2,10140,23.3,-13.9,0.08,14.5957,4.1,11259,26.7,6.7,14.7088,5.1,no
4,1,1252,2,10140,20.6,-11.1,0.11,14.65805,3.6,11259,25,7.8,14.75375,2.6,yes
4,1,1252,2,10140,20.6,-11.1,0.11,14.65805,3.6,11259,25,7.8,14.75375,2.6,yes
4,1,1852,3,10140,22.2,-11.1,0.1,14.5928,2.1,11259,25.6,7.2,14.69285,4.6,yes
4,1,2052,3,10140,19.4,-15,0.09,14.6073,5.1,11259,22.8,10,14.7001,1.5,yes
4,1,1652,2,10140,23.3,-13.9,0.8,14.5957,4.1,11259,26.7,6.7,14.7088,5.1,no
4,2,652,1,10140,7.2,-10.6,0.27,14.6479,0.29,10397,8.9,2.2,14.7784,5.1,no
4,2,852,1,10140,11.1,-10.6,0.21,14.65515,3.1,11259,20,16.1,14.71605,4.1,no
4,2,952,1,10140,12.8,-9.4,0.21,14.65515,2.1,11259,20,16.1,14.72765,4.6,no
4,2,1352,2,10140,17.8,-12.2,0.12,14.60005,4.6,10397,16.7,0.6,14.80015,4.6,no
4,2,1252,2,10140,17.2,-11.7,0.13,14.616,4.6,10821,31.7,19.4,14.73635,5.7,yes
4,2,1652,2,10140,19.4,-18.9,0.06,14.5725,11.3,11259,18.9,16.1,14.6885,2.1,no
4,2,1252,2,10140,17.2,-11.7,0.13,14.616,4.6,11259,21.7,16.1,14.70735,9.3,yes
4,2,1552,2,10140,17.8,-12.2,0.12,14.5812,3.1,11259,18.3,16.1,14.68705,2.6,yes
4,2,2052,3,10140,13.3,-7.2,0.24,14.66095,5.1,11259,16.7,10,14.7117,7.2,no
4,2,1852,3,10140,15,-7.2,0.21,14.63195,14.8,11259,21.1,15.6,14.6827,2.6,yes
4,3,652,1,10140,4.4,-2.2,0.63,14.732,3.6,10397,8.9,-2.2,14.79435,3.6,no
4,3,552,1,10140,5,-2.2,0.6,14.7175,3.6,11259,10,7.8,14.7175,8.7,no
4,3,852,1,10140,6.1,-1.7,0.58,14.7494,3.6,11259,8.9,6.1,14.761,4.6,no
4,3,952,1,10140,9.4,-1.7,0.46,14.74795,2.1,11259,8.9,6.1,14.77405,3.6,no
4,3,1352,2,10140,16.1,-1.8,0.27,14.71895,1.6,10397,15,-0.6,14.8045,4.6,no
4,3,1252,2,10140,13.9,-2.2,0.33,14.7291,1.5,10821,30,21.7,14.7407,6.7,no
4,3,1252,2,10140,13.9,-2.2,0.33,14.7291,1.5,10821,30,21.7,14.7407,6.7,yes
4,3,1552,2,10140,17.8,-6.1,0.19,14.6972,2.1,11259,10.6,6.1,14.7726,2.1,yes
4,3,1652,2,10140,18.9,-7.8,0.16,14.6914,3.6,11259,10.6,6.7,14.7726,5.1,no
4,3,1852,3,10140,18.3,-8.9,0.15,14.70445,5.7,11259,9.4,7.2,14.7755,3.1,yes
4,3,2052,3,10140,6.1,-1.7,0.58,14.7494,3.6,11259,8.9,6.7,14.78565,5.1,no
4,4,652,1,10140,6.1,-2.8,0.53,14.78565,4.6,10397,7.2,5,14.7581,9.3,no
4,4,552,1,10140,7.2,-2.8,0.53,14.78565,4.6,11259,6.7,4.4,14.78855,4.6,no
4,4,852,1,10140,8.3,-3.3,0.44,14.8045,2.6,11259,7.2,3.9,14.8074,3.6,no
4,4,1252,2,10140,18.3,-7.2,0.17,14.7668,1.5,10821,30.6,21.7,14.75955,9.3,yes
4,4,1252,2,10140,18.3,-7.2,0.17,14.7668,1.5,10821,30.6,21.7,14.75955,9.3,yes
4,4,1552,2,10140,21.1,-12.8,0.09,14.7233,3.6,11259,10.6,3.9,14.80015,5.7,yes
4,4,1652,2,10140,22.2,-13.3,0.08,14.7146,2.1,11259,10.6,3.9,14.79725,5.1,no
4,4,1852,3,10140,21.1,-13.9,0.09,14.71315,3.1,11259,11.1,3.9,14.7987,4.6,yes
4,4,2052,3,10140,15.6,-13.9,0.12,14.73055,2.6,11259,10.6,4.4,14.80885,4.1,no
4,5,652,1,10140,10,-11.7,0.21,14.7059,3.1,10397,5.6,3.9,14.72475,0.29,no
4,5,552,1,10140,10.6,-11.7,0.2,14.70155,3.1,11259,5.6,3.3,14.83205,1.5,yes
4,5,852,1,10140,13.9,-11.7,0.16,14.7175,2.1,11259,8.3,4.4,14.8567,2.1,no
4,5,952,1,10140,16.7,-12.2,0.13,14.70155,4.6,11259,11.7,5,14.84945,0.29,no
4,5,1352,2,10140,22.8,12.2,0.1,14.66675,7.7,10397,13.9,6.7,14.73635,2.6,no
4,5,1252,2,10140,21.1,-12.2,0.1,14.66675,7.7,10821,28.3,21.1,14.7436,5.7,yes
4,5,1252,2,10140,21.1,-12.2,0.1,14.66675,7.7,10821,28.3,21.1,14.7436,5.7,yes
4,5,1552,2,10140,23.3,-12.2,0.09,14.6015,6.7,11259,20,6.7,14.7842,2.1,yes
4,5,1652,2,10140,23.3,-10,0.1,14.5841,9.8,11259,20.6,6.7,14.76535,1.5,yes
4,5,1852,3,10140,24.4,-12.2,0.08,14.56815,8.2,11259,19.4,7.8,14.7552,7.2,yes
4,5,2052,3,10140,20.6,-10.6,0.11,14.58845,6.2,11259,16.7,7.8,14.74795,4.1,yes
5,5,1452,2,10140,21.1,-3.9,0.18,14.6798,5.7,10821,26.7,23.9,14.66675,1.5,no
6,5,552,1,10140,18.9,-4.4,0.2,14.62325,4.1,10821,26.1,23.9,14.73635,0.29,no
6,5,1352,2,10140,30,1.1,0.16,14.60005,5.7,11259,31.1,20,14.65805,5.1,no
6,5,1252,2,10140,27.8,3.9,0.22,14.61455,6.7,13204,20.6,7.2,14.81755,2.1,yes
4,6,652,1,10140,12.8,-5.6,0.28,14.6392,3.6,10397,10,1.7,14.7871,2.6,yes
4,6,1052,1,10140,16.7,-5.6,0.21,14.6653,0.29,10821,31.7,18.9,14.7523,4.6,no
4,6,652,1,10140,12.8,-5.6,0.28,14.6392,3.6,11259,14.4,8.9,14.7146,3.6,no
4,6,1652,2,10140,24.4,-10,0.1,14.57105,6.7,11259,25,12.8,14.69285,6.7,no
4,6,1852,3,10140,22.8,-10.6,0.1,14.5696,7.7,11259,23.9,13.3,14.64355,8.2,no
4,6,1952,3,10140,21.7,-11.1,0.1,14.58555,4.1,11259,22.8,13.3,14.6508,5.1,yes
5,6,1452,2,10140,18.9,0.6,0.29,14.6624,6.2,10821,27.8,22.2,14.70155,1.5,yes
6,6,652,1,10140,17.8,5,0.43,14.65515,7.2,10397,10,1.7,14.7871,2.6,no
