Timegroup,DewPoint,destdewpoint,Prediction
1,-5.6,8.9,no
2,-11.1,21.1,yes
2,-13.3,7.2,no
2,-13.9,6.7,no
3,-11.1,7.2,yes
3,-15,10,yes
1,-10.6,15.6,no
1,-10.6,16.1,no
1,-9.4,16.1,no
2,-11.7,16.1,yes
2,-12.2,16.2,yes
2,-18.9,16.1,no
3,-7.2,-6.1,yes
3,-7.2,10,no
1,-10.6,15.6,no
1,-10.6,16.1,no
1,-9.4,16.1,no
2,-11.7,16.1,yes
2,-12.2,16.1,yes
2,-18.9,16.1,no
3,-7.2,15.6,yes
3,-7.2,10,no
1,-10.6,15.6,no
1,-9.4,16.1,no
2,1.1,23.3,yes
1,-1.1,18.9,no
2,1.1,23.3,yes
1,-1.1,20,yes
2,1.1,10,no
1,-1.1,13.9,no
2,1.1,23.3,yes
1,-1.1,20,yes
2,1.1,12.2,yes
1,-1.1,21.7,yes
1,1.1,20.6,no
1,-1.1,5,no
2,1.1,26,yes
1,-1.1,21.7,no
2,1.1,18.3,yes
1,-1.1,21.7,yes
2,1.1,23.3,yes
1,-10.6,16.1,no
1,-9.4,16.1,no
2,-11.7,16.1,yes
2,-12.2,16.1,yes
2,-18.9,16.1,no
3,-7.2,-6.1,yes
3,-7.2,10,no
1,-9.4,16.1,no
1,-11.7,3.3,yes
1,-11.7,4.4,no
1,-5.6,-12,no
1,-5.6,21.7,no
1,-5.6,5.6,no
2,-6.1,10.6,no
3,-10.6,13.9,no
3,-11.1,13.3,yes
1,-4.4,13.9,no
1,-6,14.4,no
2,-7.2,15,no
2,-11.1,15.6,yes
2,-11.7,15.6,yes
3,-10.6,-0.6,no
3,-11.7,15,no
1,-6.7,15,yes
1,-4.4,15.6,no
1,-5,16.1,yes
2,-5.6,22.8,no
2,-6.7,17.2,yes
2,-11.1,17.2,no
3,-11.1,6.1,yes
3,-10.6,17.2,no
1,2.2,17.8,no
1,-3.9,17.2,no
1,-0.6,17.2,yes
1,-1.1,17.2,no
2,1.1,16.7,yes
2,2.2,17.2,yes
3,1.1,-5.6,yes
3,1.1,17.8,no
1,-1.1,5,no
1,-6.1,4.4,yes
1,-6.1,3.9,no
2,-4.4,21.1,yes
2,-1.7,2.8,yes
2,-4.4,2.2,yes
3,-7.8,-3.9,yes
3,-7.2,2.8,no
1,-8.9,-1.7,no
1,-8,-2.8,no
1,-8.3,-2.8,yes
2,-7.2,19.4,no
2,-3.3,0,yes
2,-3.3,0,yes
3,-2.8,-7.8,yes
3,-2.2,1.7,no
1,-2.2,3.9,no
1,-1.7,5.6,no
1,-1.1,5.6,yes
2,-1.7,21.1,yes
2,-5.6,5.6,yes
2,-5.6,5,yes
3,-6.1,0,yes
3,-3.3,6.7,yes
